;;;;;
;; RESULTADO DE JULGAMENTO - PROPOSTAS  APROVADAS PARA CONTRATAÇÃO;;;
;;Edital 21/2008 - Programa Primeiros Projetos;;;
;;;;;
ATENÇÃO : Todas as instituições que tiverem propostas aprovadas deverão atualizar seu credenciamento na FAPEMIG até 10 dias corridos da publicação dos resultados, sob pena de desclassificação das propostas.  A situação cadastral das instituições poderá ser verificada no endereço : http://www.fapemig.br/cadastro/;;;;;
;;;;;
;;;;;
;;;;;
#;PROC.;COORDENADOR;TÍTULO;INSTITUIÇÃO; VALOR 
115; APQ-00681-09; Angélica Terezinha Carmo Rodrigues; Gramaticalização De Construções Em Línguas Românicas: Um Estudo Comparativo; UFU;18.511,50
116; APQ-00686-09; Valeriano Antunes De Oliveira; Contribuições Em Otimização Infinito Dimensional; UFU;21.735,00
117; APQ-00690-09; Maria Beatriz Camargo Cappello; Arquitetura Moderna No Brasil E Sua Recepção Nas Revistas Européias E Brasileiras (1945-1960); UFU;24.957,35
118; APQ-00691-09; Cláudio Umpierra Carlan; Moeda: Poder, Imagem E Ideologia; UNIFAL -MG;7.980,00
119; APQ-00692-09; Rita De Cassia Vieira; Atualidade E Desafios Da Formação De Psicólogos Em Belo Horizonte: Focalizando O Campo Da Educação ; UFMG;17.400,00
120; APQ-00693-09; Antonio Vicente Mundim; Dinâmica Da Citologia Endometrial E Sua Correlação Com O Exame De Muco Vaginal Em Vacas Leiteiras Mestiças No Puerpério Fisiológico; UFU;29.179,50
121; APQ-00694-09; Marcio Leles Romarco De Oliveira; Uso Do Método De Bittelirch Em Comparação Ao De Parcela De Área Fixa Para Análise Florística E Estrutural De Florestas Inequiâneas Em Cerrado; UFVJM;6.972,00
122; APQ-00695-09; João Paulo Elsen Saut; Diagnóstico E Tratamento Precoce De Infecções Uterinas Para Aumentar A Eficiência Reprodutiva De Vacas Leiteiras Mestiças; UFU;23.379,93
123; APQ-00697-09; Israel Marinho Pereira; Composição, Estrutura, Diversidade E Potencial De Uso Da Flora Arbustivo-Arbórea Em Diferentes Fitofisionomias De Cerrado Em Curvelo, Mg; UFVJM;22.113,00
124; APQ-00700-09; Daniele Cristiane Menezes; Atividades Antifúngica E Antibacteriana De Derivados Ditiocarbamatos, Disselenocarbamatos E Carboxilatos De Estanho E Bismuto: Investigação Do Perfil Farmacológico E Possíveis Mecanismos De Ação; UFV;28.560,00
125; APQ-00711-09; Gilmare Antônia Da Silva; Determinação Simultânea E Monitoramento De Perturbadores Endócrinos Em Amostras De Água Por Métodos Cromatográficos E Quimiométricos; UFOP;20.692,88
126; APQ-00713-09; Carina Aparecida Fabricio De Andrade; Papel Dos Receptores Adrenérgicos Alfa2, Gabaérgicos E Serotonérgicos Do Núcleo Parabraquial Lateral No Controle Do Equilíbrio Hidroeletrolítico; UNIFAL -MG;23.310,00
127; APQ-00720-09; Fábio Vincenzi Romualdo Da Silva; Estudo, Projeto E Montagem De Um Amplificador Classe D E Um Gerador De Sinais Programável Utilizados Em Uma Fonte De Tensão Ca Monofásica Programável Empregada Em Testes De Equipamentos No Contexto Da Qualidade Da Energia Elétrica; UFU;18.795,00
128; APQ-00722-09; Cíntia Marques Coelho; Lippia, Monoterpeno, Câncer E Micrornas: Avaliação Do Óleo Essencial De 5 Espécies De Lippia (Verbenaceae) Em Diferentes Células Tumorais.; UFJF;20.512,43
129; APQ-00724-09; Gisele Lobo Pappa; Emchi: Evolução De Modelos De Classificação Hierárquica Baseada Em Programação Genética; UFMG;29.610,00
130; APQ-00728-09; Marina Matos De Moura Faíco; Síndrome Metabólica E Sistema Renina Antiotensina; UNEC;29.925,00
131; APQ-00729-09; Vânia Lúcia Da Silva; Alterações Induzidas Por Drogas Antimicrobianas De Interesse Clínico-Microbiológico E Resistência Cruzada Em Fusobacterium ; UFJF;22.470,00
132; APQ-00732-09; Marcel Mano; Tupis, Tapuias, Não Índios E A História Do Contato: As Guerras Cayapó No Triângulo Mineiro; UFU;16.196,52
